depth,Parent-id,id,name,code
4,291,2919,Fabricación de otros tipos de maquinaria de uso general,2919
4,292,2921,Fabricación de maquinaria agropecuaria y forestal,2921
4,292,2922,Fabricación de máquinas herramienta,2922
4,292,2923,Fabricación de maquinaria metalúrgica,2923
4,292,2924,Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción,2924
4,292,2925,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",2925
4,292,2926,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros",2926
4,292,2927,Fabricación de armas y municiones,2927
4,292,2929,Fabricación de otros tipos de maquinaria de uso especial,2929
4,293,2930,Fabricación de aparatos de uso doméstico ncp,2930
4,300,3000,"Fabricación de maquinaria de oficina, contabilidad e informática",3000
4,311,3110,"Fabricación de motores, generadores y transformadores eléctricos",3110
4,312,3120,Fabricación de aparatos de distribución y control de la energía eléctrica,3120
4,313,3130,Fabricación de hilos y cables aislados,3130
4,314,3140,Fabricación de acumuladores y de pilas y baterías primarias,3140
4,315,3150,Fabricación de lámparas eléctricas y equipo de iluminación,3150
4,319,3190,Fabricación de otros tipos de equipo eléctrico ncp,3190
4,321,3210,Fabricación de tubos y válvulas electrónicos y de otros componentes electrónicos,3210
4,322,3220,Fabricación de transmisores de radio y televisión y de aparatos para telefonía y telegrafía con hilo,3220
4,323,3230,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y ví",3230
4,331,3311,Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos,3311
4,331,3312,"Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar y otros fines, except",3312
4,331,3313,Fabricación de equipo de control de procesos industriales,3313
4,332,3320,Fabricación de instrumentos de óptica y equipo fotográfico,3320
4,333,3330,Fabricación de relojes,3330
4,341,3410,Fabricación de vehículos automotores,3410
4,342,3420,"Fabricación de carrocerías para vehículos automotores, fabricación de remolques y semirremolques",3420
4,343,3430,"Fabricación de partes, piezas y accesorios para vehículos automotores y sus motores",3430
4,351,3511,Construcción y reparación de buques,3511
4,351,3512,Construcción y reparación de embarcaciones de recreo y deporte,3512
4,352,3520,Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías,3520
4,353,3530,Fabricación de aeronaves y naves espaciales,3530
4,359,3591,Fabricación de motocicletas,3591
4,359,3592,Fabricación de bicicletas y de sillones de ruedas para inválidos,3592
4,359,3599,Fabricación de otros tipos de equipo de transporte ncp,3599
4,361,3610,Fabricación de muebles,3610
4,369,3691,Fabricación de joyas y artículos conexos,3691
4,369,3692,Fabricación de instrumentos de música,3692
4,369,3693,Fabricación de artículos de deporte,3693
4,369,3694,Fabricación de juegos y juguetes,3694
4,369,3699,Otras industrias manufactureras ncp,3699
4,401,4010,"Generación, captación y distribución de energía eléctrica",4010
4,402,4020,"Fabricación de gas, distribución de combustibles gaseosos por tuberías",4020
4,722,7221,Edición de programas de informática,7221
4,742,7421,Actividades de arquitectura e ingeniería y actividades conexas de asesoramiento técnico,7421
4,749,7494,Actividades de fotografía,7494
4,921,9211,Producción y distribución de filmes y videocintas,9211
4,921,9214,Actividades teatrales y musicales y otras actividades artísticas,9214
4,930,9302,Peluquería y otros tratamientos de belleza,9302
