202;72;CHIVILCOY
203;98;CHOIQUE
204;9;CIRCUNVALACION ,EST.
205;9;CITY BELL
206;3;CIUDAD GRL.MARTIN MIGUEL DE GUEMES
207;91;CIUDADELA
208;99;CLARAZ
209;63;CLAROMECO
210;28;CLAYPOLE
211;83;COBO
212;15;COBO, MANUEL J.,EST.LEZAMA
213;18;COCHRANE
214;94;COLIQUEO
215;96;COLMAN, MARTIN
216;44;COLON
217;100;COLONIA HOGAR RICARDO GUTIERREZ
218;43;COLONIA SAN MIGUEL ARCANGEL
219;101;COLONIA SERE
220;102;COLONIA VELAZ
221;15;COMANDANTE GIRIBONE
222;103;COMANDANTE NICANOR OTAMENDI
223;52;COMODORO PY
224;104;CONESA
225;63;COPETONAS
226;105;CORACEROS ,EST.
227;6;CORAZZI
228;7;CORBETT
229;91;CORONADO, MARTIN
230;106;CORONEL BOERR
231;32;CORONEL BRANDSEN
232;64;CORONEL CHARLONE
233;42;CORONEL DORREGO
234;107;CORONEL FALCON
235;38;CORONEL GRANADA
236;40;CORONEL MARCELINO FRYRE
237;46;CORONEL MARTINEZ DE HOZ
238;108;CORONEL MARTINIANO CHILAVERT ,PDA.
239;14;CORONEL MOM
240;107;CORONEL PRINGLES ,EST.PRINGLES
241;109;CORONEL RODOLFO BUNGE
242;69;CORONEL SUAREZ
243;83;CORONEL VIDAL
244;9;CORREAS, IGNACIO
245;18;CORTI
246;38;COSTA, EDUARDO
247;34;COVELLO
248;110;CRISTIANO MUERTO
249;34;CROTO
250;69;CURA MALAL
251;101;CURARU
252;69;D ORBIGNY
253;40;DAIREAUX
254;2;DARREGUEIRA
255;78;DE BARY
256;3;DE ELIA, AGUSTIN ,AP.
257;57;DE LA CANAL
258;111;DE LA GARMA
259;21;DE LA PLAZA, VICTORINO
260;5;DE LA RIESTRA, NORBERTO
261;101;DE LUCA, ESTEBAN
262;6;DE VICTORIA, FRANCISCO
263;110;DEFFERRARI
264;35;DEL CARRIL
265;5;DEL VALLE
266;48;DEL VALLE,ARISTOBULO ,EST.
267;33;DEL VISO
268;4;DELTA ,EST.
269;7;DENNEHY
270;42;DESCALZI, NICOLAS
271;4;DIQUE LUJAN
272;106;DOCTOR DOMINGO HAROSTEGUY
273;73;DOCTOR RICARDO LEVENE ,EST.
274;112;DOLORES
275;26;DOMSELAAR
276;74;DON BOSCO
277;15;DON CIPRIANO
278;4;DON TORCUATO
279;38;DOS HERMANOS
280;102;DOYLE
281;64;DRABBLE
282;101;DRYSDALE
283;31;DUCOS
284;7;DUDIGNAC
285;31;DUFAUR
286;113;DUGGAN
287;6;DUHAU
288;77;DURAÑONA
289;38;DUSSAUD ,EST.
290;96;EGAÑA
291;44;EL ARBOLITO
292;64;EL DIA
293;107;EL DIVISORIO
294;23;EL DORADO
295;114;EL LENGUARAZ
