[-31.9771940000,-69.1265010000],
[-31.9775570000,-69.1265950000],
[-31.9811260000,-69.1275250000],
[-31.9862840000,-69.1280970000],
[-31.9871580000,-69.1277590000],
[-31.9912470000,-69.1262190000],
[-31.9956400000,-69.1227760000],
[-31.9998820000,-69.1197790000],
[-32.0038800000,-69.1171560000],
[-32.0084330000,-69.1169110000],
[-32.0132100000,-69.1185250000],
[-32.0181900000,-69.1179510000],
[-32.0219180000,-69.1140490000],
[-32.0233540000,-69.1115430000],
[-32.0247800000,-69.1090550000],
[-32.0265350000,-69.1034650000],
[-32.0291090000,-69.0982760000],
[-32.0330270000,-69.0947020000],
[-32.0379530000,-69.0931600000],
[-32.0430630000,-69.0927920000],
[-32.0480710000,-69.0916110000],
[-32.0523740000,-69.0885070000],
[-32.0541660000,-69.0863530000],
[-32.0559490000,-69.0842090000],
[-32.0577100000,-69.0820150000],
[-32.0594570000,-69.0798350000],
[-32.0629000000,-69.0755530000],
[-32.0662620000,-69.0714530000],
[-32.0710360000,-69.0693270000],
[-32.0747010000,-69.0653580000],
[-32.0770020000,-69.0602140000],
[-32.0809720000,-69.0564800000],
[-32.0845730000,-69.0523820000],
[-32.0872960000,-69.0472850000],
[-32.0906990000,-69.0429360000],
[-32.0941260000,-69.0387220000],
[-32.0973560000,-69.0340440000],
[-32.1019080000,-69.0317620000],
[-32.1029340000,-69.0303240000],
[-32.1052140000,-69.0271170000],
[-32.1082970000,-69.0223640000],
[-32.1112270000,-69.0174440000],
[-32.1133490000,-69.0119780000],
[-32.1136210000,-69.0060090000],
[-32.1135740000,-69.0000220000],
[-32.1132840000,-68.9940240000],
[-32.1127080000,-68.9880700000],
[-32.1115530000,-68.9822220000],
[-32.1105420000,-68.9763300000],
[-32.1085410000,-68.9708120000],
[-32.1046860000,-68.9668490000],
[-32.1006570000,-68.9631900000],
[-32.0974780000,-68.9584840000],
[-32.0962970000,-68.9527070000],
[-32.0964820000,-68.9466940000],
[-32.0967610000,-68.9406970000],
[-32.0969430000,-68.9320740000],
[-32.1218550000,-68.9330190000],
[-32.1690700000,-68.9323890000],
[-32.2412030000,-68.9314250000],
[-32.3133500000,-68.9323710000],
[-32.3228920000,-68.9325010000],
[-32.3265420000,-68.8589050000],
[-32.3280030000,-68.8292950000],
[-32.3288360000,-68.7739960000],
[-32.3300720000,-68.6890410000],
[-32.3304030000,-68.6653720000],
[-32.3304210000,-68.6641120000],
[-32.3280240000,-68.6613240000],
[-32.2941320000,-68.6219680000],
[-32.2566520000,-68.5784850000],
[-32.2422200000,-68.5630320000],
[-32.1968330000,-68.5144440000],
[-32.1941720000,-68.5115960000],
[-32.1939600000,-68.5113460000],
[-32.1924120000,-68.5094060000],
[-32.1906580000,-68.5072090000],
[-32.1871750000,-68.5027940000],
[-32.1842430000,-68.4979010000],
[-32.1823770000,-68.4956320000],
[-32.1807360000,-68.4936270000],
[-32.1775050000,-68.4889920000],
[-32.1731130000,-68.4859020000],
[-32.1708840000,-68.4844320000],
[-32.1686460000,-68.4829670000],
[-32.1640640000,-68.4803180000],
[-32.1592830000,-68.4781850000],
[-32.1543910000,-68.4764530000],
[-32.1493970000,-68.4750990000],
[-32.1443270000,-68.4743790000],
[-32.1392230000,-68.4740140000],
[-32.1341250000,-68.4735610000],
[-32.1294390000,-68.4728070000],
[-32.1290610000,-68.4727410000],
[-32.1265340000,-68.4722410000],
[-32.1240150000,-68.4717390000],
[-32.1189450000,-68.4709930000],
[-32.1138540000,-68.4704290000],
[-32.1087650000,-68.4697810000],
[-32.1034880000,-68.4690490000],
[-32.1030780000,-68.4634490000],
[-32.1034510000,-68.4620150000],
[-32.1043010000,-68.4587370000],
[-32.1045690000,-68.4576980000],
[-32.1059300000,-68.4519070000],
[-32.1065450000,-68.4489980000],
[-32.1071610000,-68.4460810000],
[-32.1082700000,-68.4402140000],
[-32.1091730000,-68.4342990000],
[-32.1097340000,-68.4313720000],
[-32.1102910000,-68.4284320000],
[-32.1117440000,-68.4226770000],
[-32.1119800000,-68.4166830000],
[-32.1120680000,-68.4106750000],
[-32.1115240000,-68.4046870000],
[-32.1115620000,-68.4017010000],
[-32.1116060000,-68.3987050000],
[-32.1108350000,-68.3927530000],
[-32.1098710000,-68.3898550000],
[-32.1089620000,-68.3871440000],
[-32.1133780000,-68.3850660000],
[-32.1184870000,-68.3854380000],
